advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_policy_inference,wait_step,wait_update,eplen,eprooms,rewtotal
-0.0016370728,0.037757393,500.0,21897,5.0,0.8617503046989441,0.9268524125218391,10958675968,6,2630,0.0012150689,0.01949833,0.046875,2.7733576,0.4680562,0.05127437,4.107868,0.010862698,-0.0021718112,0.014954589,0.00040142864,0,0.0036220858,0.020545831,0.30331802,0.10046856,0.016422542,0.09247431,0.0032672444,0.018397648,0.0111236125,[0;1;2;5;6;7],10761735,19955.019123077393,548.7238793706645,0.0041424427,0.023856247,0.30391437,0.1104715,0.46900272369384766,7.4617695808410645,4.803249359130859,513.55,1.0,23200.0
0.00012093736,0.030090427,500.0,21907,5.0,0.8493187874555588,0.9476154521107674,10958438400,6,2631,0.0012672029,0.017069088,0.07910156,2.7766197,0.44500226,0.05364683,4.177978,0.013156736,-0.0038261411,0.010738909,0.0002725812,0,0.0034482318,0.017579058,0.3028769,0.09518615,0.02064911,0.11625266,0.0029145717,0.01640878,0.010701723,[0;1;2;5;6;7],10766353,19962.54868912697,543.9888531465577,0.0040363222,0.02165708,0.30157977,0.10341545,0.4671056270599365,7.52678370475769,4.852619886398315,497.01,1.0,23200.0
0.00319047,0.10036443,500.0,21915,6.0,0.40682268142700195,0.8954403102397919,10959228928,6,2632,0.0025061197,0.017236352,0.12695312,2.7613516,0.44225484,0.16630402,4.332717,0.02868716,-0.021262275,-0.0025034938,0.00428378,0,0.0073920395,0.0570262,0.3216172,0.09248798,0.029125698,0.1639454,0.0030744376,0.017305678,0.012317167,[0;1;2;5;6;7],10770593,19970.199586868286,535.3620275853773,0.004923558,0.024760216,0.3233637,0.099765256,0.46991515159606934,7.647998809814453,4.95557165145874,496.4,1.0,23300.0
0.006244959,0.09626402,500.0,21921,6.0,0.48806047439575195,0.925862580537796,10958741504,6,2633,0.0068674306,0.020913724,0.40625,2.740265,0.47681767,0.3159862,4.152339,0.052849714,-0.037405707,-0.015127309,0.004104938,0,0.013553979,0.060132608,0.34248918,0.09856178,0.023723325,0.13351169,0.003432278,0.019316401,0.013736562,[0;1;2;5;6;7],10774483,19977.691377401352,546.7317835331726,0.011233693,0.030710151,0.3408848,0.09736215,0.4718022346496582,7.489025354385376,4.8382227420806885,500.34,1.0,23300.0
-0.0070903613,0.037944853,500.0,21929,7.0,0.7947996556758881,0.9041640907526016,10958008320,6,2634,0.001702923,0.016681192,0.09667969,2.7591696,0.47000825,0.121881634,3.9368079,0.014779032,0.009989896,0.024383752,0.0004718331,0,0.016451187,0.020039018,0.33867347,0.08641391,0.016357359,0.092040166,0.003356399,0.018885905,0.012501584,[0;1;2;5;6;7],10778784,19985.18043589592,546.9311986511899,0.019369246,0.023865938,0.33992767,0.09004696,0.4680814743041992,7.486268043518066,4.799590110778809,496.93,1.0,23400.0
0.015814561,0.106632575,500.0,21937,7.0,0.5687481164932251,0.9116738215088844,10958274560,6,2635,0.0033230192,0.018095607,0.20214844,2.7694654,0.45405194,0.08735787,4.3457828,0.049290556,-0.007269188,0.008269297,0.00021234296,0,0.020299636,0.06782032,0.3568409,0.10694173,0.030410267,0.17108217,0.0039075846,0.021983301,0.01642478,[0;1;2;5;6;7],10782334,19992.757190704346,540.6008551753895,0.017399034,0.043250147,0.34682757,0.09779592,0.47074460983276367,7.5740721225738525,4.9027345180511475,496.4,1.0,23400.0
0.030591432,0.1801005,500.0,21944,7.0,0.5285409390926361,0.9325909689068794,10958557184,6,2636,0.003003874,0.01706434,0.17578125,2.7746136,0.44543976,0.10272257,3.9047346,0.034438994,0.0011702846,0.015909253,0.0004492415,0,0.032286532,0.11953357,0.38403493,0.16521464,0.03152439,0.17731786,0.0041962583,0.023603044,0.020239996,[0;1;2;5;6;7],10785982,20000.18929386139,551.1226509701805,0.020942472,0.06973926,0.3761316,0.14884526,0.4652853012084961,7.429262399673462,4.778424501419067,500.49,1.0,23400.0
-0.0031075026,0.072091214,500.0,21949,8.0,0.7778421491384506,0.94717026501894,10958835712,6,2637,0.001508069,0.018934773,0.049804688,2.7607431,0.4544996,0.12800328,4.0363674,0.014516804,0.003918213,0.020853171,0.000760929,0,0.013533661,0.054594703,0.36699748,0.15964599,0.03474036,0.1953722,0.004291743,0.024135826,0.022177022,[0;1;2;5;6;7],10788139,20007.67928171158,546.8633181760639,0.017786166,0.06921937,0.36159998,0.15029393,0.4721255302429199,7.487069845199585,4.827193737030029,494.29,1.0,23500.0
0.004599337,0.12445347,500.0,21960,11.0,0.347665011882782,0.8710707277059555,10959097856,6,2638,0.007085945,0.01452956,0.36621094,2.7893465,0.48442942,0.08001639,3.9810812,0.104576886,-0.0013514899,0.010706758,0.00031803438,0,0.0028817435,0.05899653,0.29191428,0.122118205,0.06575324,0.3697152,0.0032833223,0.018461362,0.018449496,[0;1;2;5;6;7],10795573,20015.21267104149,543.7127898552421,0.00070888083,0.0329397,0.29166067,0.1159114,0.47542285919189453,7.530551195144653,4.840521574020386,514.68,1.0,23800.0
0.010383006,0.04485684,500.0,21966,15.0,0.6849384605884552,0.8919128179550171,10957578240,6,2639,0.0023857784,0.015239568,0.18457031,2.7759886,0.46580786,0.062120266,4.0709505,0.021281866,-0.012513503,0.00010815263,0.00015807594,0,-0.0056737554,0.018572507,0.29131043,0.09569773,0.029416682,0.16537392,0.0031707617,0.017825304,0.014605167,[0;1;2;5;6;7],10799125,20022.68970823288,547.8105342982227,-0.0069264644,0.024528008,0.28343284,0.099015534,0.46634674072265625,7.474169015884399,4.820927858352661,525.7,1.0,24200.0
